id;nama;nomor;periode_waktu_awal;periode_waktu_akhir;created_at;updated_at
1;SOUT 2017;B-224/BPS/63020/05/2017;1494028800;1499299200;\N;\N
2;SKD 2017;B-225/BPS/63020/05/2017;1494028800;1494633600;5/6/2017 5:30;5/6/2017 5:30
3;METADATA 2017;B-226/BPS/63020/05/2017;1494633600;1495152000;5/6/2017 5:31;5/6/2017 5:31
4;UBINAN 2017;B-227/BPS/63020/05/2017;1485302400;1514160000;\N;\N
5;CUTI ACARA PENTING;;1483228800;1514678400;6/3/2017 17:42;6/3/2017 17:42
6;IJIN;;1483228800;1514678400;6/3/2017 17:42;6/3/2017 17:42
7;SAKERNAS 2017;B-305/BPS/63020/07/2017;1500336000;1501459200;7/11/2017 6:09;7/21/2017 23:05
8;KCA 2017;B-308/BPS/63020/08/2017;1501545600;1501718400;7/27/2017 18:30;7/27/2017 18:32
9;SEMINAR CPNS;;1502236800;1502496000;8/28/2017 16:26;8/28/2017 16:26
10;PELATIHAN SUSENAS;;1501545600;1502582400;8/28/2017 16:28;8/28/2017 17:35
11;SKPS;;1501545600;1504137600;8/28/2017 16:29;8/28/2017 16:29
12;KDA;;1501545600;1504137600;8/28/2017 16:29;8/28/2017 16:29
13;SENSUS EKONOMI LANJUTAN;B-400/BPS/63020/08/2017;1501545600;1506729600;8/28/2017 16:31;12/3/2017 0:11
14;HPB;B-005/63020/ST/01/2018;1501545600;1504137600;8/28/2017 16:32;1/7/2018 19:41
15;VHTS;B-006/63020/ST/01/2018;1501545600;1504137600;8/28/2017 16:32;1/7/2018 19:10
16;IKK;;1501545600;1504137600;8/28/2017 16:32;8/28/2017 16:32
17;UPDATING UBINAN PRAKARSA SR 1;B-019/63020/ST/01/2018;1514764800;1525046400;8/28/2017 16:32;1/18/2018 18:29
18;PELATIHAN GIS;;1503273600;1503619200;8/28/2017 16:33;8/28/2017 16:33
19;LISTING UBINAN;;1501545600;1504137600;8/28/2017 16:33;8/28/2017 16:33
20;UPDATING RUMAH TANGGA SBH 2018;B-486/BPS/63020/11/2017;1512086400;1514678400;10/4/2017 0:17;11/29/2017 19:29
21;HPB OKTOBER;B-433/BPS/63020/10/2017;1506816000;1509408000;10/4/2017 0:18;10/4/2017 0:18
22;IHPB OKTOBER;B-434/BPS/63020/10/2017;1506816000;1509408000;10/4/2017 0:19;10/4/2017 0:19
23;VHT-S OKTOBER;B-435/BPS/63020/10/2017;1506816000;1509408000;10/4/2017 0:20;10/4/2017 0:20
24;IMK TAHUNAN LISTING;B-436/BPS/63020/10/2017;1506816000;1509408000;10/4/2017 0:20;10/4/2017 0:20
25;IMK TRIWULANAN OKTOBER 2017;B-437/BPS/63020/10/2017;1506816000;1509408000;10/4/2017 0:21;10/5/2017 23:42
26;SKKRT 2017 OKTOBER;B-438/BPS/63020/10/2017;1506816000;1509408000;10/4/2017 0:22;10/4/2017 0:22
27;SLNPRT III OKTOBER;B-439/BPS/63020/10/2017;1506816000;1509408000;10/4/2017 0:22;10/4/2017 0:22
28;SPDT-NTP 2017;B-418/BPS/63020/10/2017;1506816000;1509408000;12/3/2017 0:33;12/3/2017 0:33
29;UPDATING DIREKTORI PERUSAHAAN;B-198/BPS/63020/04/2017;1491004800;1493510400;12/7/2017 0:13;12/7/2017 0:13
30;UPDATING RUMAH TANGGA SUSENAS 2017;B-149/BPS/63020/08/2017;1503878400;1504137600;12/7/2017 1:13;12/7/2017 1:13
31;UPDATING UBINAN SR 1 2018;B-494/BPS/63020/12/2017;1512086400;1514678400;12/7/2017 16:06;12/7/2017 16:06
32;UBINAN SR3;B-466/BPS/63020/11/2017;1504224000;1514678400;12/20/2017 0:48;12/20/2017 0:48
33;PENCACAHAN SBH 2018 T1;B-015/BPS/63020/01/2018;1514764800;1522454400;1/1/2018 16:05;1/1/2018 17:14
34;SKTNP 2018;B-002/BPS/63020/01/2018;1514764800;1517356800;1/1/2018 19:20;1/1/2018 19:20
35;PERKEBUNAN TRIWULANAN 2017;B-009/63020/ST/01/2018;1514764800;1517356800;1/7/2018 17:16;1/10/2018 21:53
36;SURVEI INDUSTRI BULANAN 2017;B-008/63020/ST/01/2108;1514764800;1517356800;1/7/2018 17:17;1/10/2018 21:56
37;VHT-S;B-006/63020/ST/01/2018;1527811200;1527811200;1/7/2018 17:55;1/7/2018 17:55
38;SURVEI PEMOTONGAN TERNAK TRIWULANAN;B-021/63020/ST/01/2018;1514764800;1517356800;1/7/2018 19:51;1/21/2018 18:04
39;INTERNALISASI SHK DAN SBH 2018;B-010/63020/ST/01/2018;1515542400;1515715200;1/8/2018 17:29;1/8/2018 17:39
40;UPDATING USAHA JASA AKOMODASI 2018;B-011/63020/ST/01/2018;1515456000;1516838400;1/9/2018 0:41;1/9/2018 0:41
41;PELATIHAN KSA;;1515974400;1516233600;1/10/2018 19:39;1/10/2018 19:39
42;PENGAWASAN KSA JANUARI;B-020/63020/ST/01/2018;1516838400;1517356800;1/10/2018 19:40;1/21/2018 19:33
43;PENCACAHAN UBINAN SUBROUND 1;B-013/63020/ST/01/2018;1514851200;1525046400;1/11/2018 0:18;1/11/2018 0:18
44;PENCACAHAN LAPORAN PELABUHAN PERIKANAN;B-016/63020/ST/01/2018;1514764800;1517356800;1/14/2018 19:23;1/14/2018 19:23
45;PENGAWASAN LAPORAN PELABUHAN PERIKANAN;B-017/63020/ST/01/2018;1514764800;1517356800;1/14/2018 19:26;1/14/2018 19:26
46;PENGUMPULAN DATA SEKUNDER PDRB 2017;4;1514764800;1517356800;1/15/2018 17:18;1/15/2018 17:18
47;PENGUMPULAN DATA SEKUNDER PDRB TRIWULAN 4 2017;B-018/63020/ST/01/2018;1514764800;1517356800;1/15/2018 17:37;1/15/2018 17:45
48;SURVEI KSA JANUARI;B-020/63020/ST/01/2018;1516838400;1517356800;1/18/2018 18:34;1/18/2018 18:34
49;PELATIHAN SKGB;B-040A/6302/ST/02/2018;1518739200;1519171200;1/25/2018 17:26;2/27/2018 21:35
50;PENGAWASAN PENCACAHAN SUSENAS MARET 2018;B-044/63020/ST/02/2018;1519862400;1521504000;2/4/2018 18:00;2/28/2018 18:16
51;VHT-S FEBRUARI;B-051/63020/ST/02/2018;1517529600;1518652800;2/4/2018 18:01;2/4/2018 18:01
52;PERKEBUNAN TRIWULANAN 2018;B-086/63020/ST/04/2018;1514764800;1546214400;2/4/2018 18:02;5/28/2018 0:45
53;PENGAWASAN SBH FEBRUARI;B-055/63020/ST/02/2018;1517443200;1519776000;2/4/2018 18:03;2/4/2018 18:03
54;PENCACAHAN SAKERNAS SEMESTERAN;B-037/6302/ST/02/2018;1518048000;1519776000;2/7/2018 0:06;2/8/2018 17:21
55;PENCACAHAN SURVEI PEKERJA INFORMAL;B-038/6302/ST/02/2018;1518048000;1519776000;2/7/2018 0:06;2/8/2018 17:21
56;UPDATING BLOK SENSUS SUSENAS MARET 2018;B-039/6302/ST/02/2018;1518998400;1519344000;2/8/2018 17:25;2/8/2018 17:25
